                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73024,                0.84891,                 1.0097,                 0.8734,                0.67778,                0.83182,                0.65493,                0.73706,                0.96077,                 1.0286,              0.0011224,              0.0011224,              0.0011224
                     36,                0.78343,                0.84842,                 1.0701,                0.96255,                0.69408,                0.84522,                0.66569,                  0.764,                0.92478,                 1.0653,              0.0011059,              0.0011059,              0.0011059
                     37,                0.71784,                0.78572,                0.97744,                 0.7943,                0.75471,                0.82654,                0.65747,                0.77744,                 1.0471,                 1.0663,              0.0010894,              0.0010894,              0.0010894
                     38,                0.70584,                0.77488,                   1.02,                0.82591,                0.74566,                0.82305,                 0.6508,                0.81205,                0.93907,                 1.0892,              0.0010729,              0.0010729,              0.0010729
                     39,                0.78211,                0.84037,                 1.0281,                0.85459,                0.75471,                0.85096,                0.64718,                0.79975,                0.92178,                 1.0877,              0.0010564,              0.0010564,              0.0010564
                     40,                0.77834,                0.78652,                  1.032,                0.87399,                0.80505,                0.89224,                0.69641,                0.75802,                 0.8146,                 1.0517,              0.0010399,              0.0010399,              0.0010399
                     41,                0.72484,                0.77943,                 1.0231,                0.86826,                0.80191,                0.86333,                0.69082,                0.74733,                0.86082,                 1.0375,              0.0010234,              0.0010234,              0.0010234
                     42,                0.75023,                0.76327,                  1.043,                0.95509,                 0.7202,                0.87668,                0.69427,                0.74984,                0.82186,                  1.034,              0.0010069,              0.0010069,              0.0010069
                     43,                0.73838,                0.78068,                 1.0152,                0.84401,                0.83406,                0.89735,                 0.7058,                0.74941,                0.77434,                 1.0459,             0.00099036,             0.00099036,             0.00099036
                     44,                0.72809,                0.74308,                 1.0164,                0.87981,                0.75706,                0.87636,                0.69863,                 0.7469,                 0.8066,                 1.0492,             0.00097386,             0.00097386,             0.00097386
                     45,                0.68803,                0.70892,                 1.0066,                0.90251,                0.75859,                0.85981,                0.71451,                0.70006,                0.77483,                  1.019,             0.00095736,             0.00095736,             0.00095736
                     46,                0.73518,                0.75997,                 1.0315,                0.79052,                0.80303,                0.84915,                0.68055,                0.71465,                0.82894,                 1.0364,             0.00094085,             0.00094085,             0.00094085
                     47,                0.76847,                0.72791,                 1.0327,                0.84887,                0.81552,                0.86293,                0.69095,                 0.7148,                0.84275,                 1.0324,             0.00092435,             0.00092435,             0.00092435
                     48,                0.66333,                0.67153,                0.97455,                 0.9164,                0.71364,                  0.837,                0.68232,                0.74382,                 0.9131,                 1.0811,             0.00090785,             0.00090785,             0.00090785
                     49,                0.61278,                 1.0596,                0.92335,                0.96408,                0.70909,                0.83709,                0.67923,                0.75921,                 0.8962,                 1.0603,             0.00089134,             0.00089134,             0.00089134
                     50,                0.67906,                0.68193,                0.96747,                0.94926,                0.68817,                0.82738,                0.67376,                  0.759,                0.86377,                 1.0809,             0.00087484,             0.00087484,             0.00087484
                     51,                0.68582,                0.62838,                0.98555,                0.95673,                 0.7697,                0.84866,                0.68563,                 0.7329,                0.84785,                 1.0559,             0.00085834,             0.00085834,             0.00085834
                     52,                0.68015,                0.64205,                0.98569,                0.89676,                0.76857,                0.85703,                0.70078,                0.68869,                0.80594,                 1.0352,             0.00084184,             0.00084184,             0.00084184
                     53,                0.69718,                0.63465,                0.96882,                0.96109,                0.73838,                0.87088,                0.70844,                0.71114,                0.78108,                 1.0368,             0.00082533,             0.00082533,             0.00082533
                     54,                0.69748,                0.64431,                0.97916,                0.90112,                0.70707,                0.84178,                0.68045,                0.74702,                0.85772,                 1.0735,             0.00080883,             0.00080883,             0.00080883
                     55,                0.64632,                0.64785,                0.97829,                0.94881,                0.67374,                0.82956,                0.67481,                0.69555,                0.87476,                 1.0486,             0.00079233,             0.00079233,             0.00079233
                     56,                0.64425,                0.59631,                0.96777,                 0.9267,                0.72225,                0.86089,                0.70675,                 0.7009,                0.79082,                  1.026,             0.00077582,             0.00077582,             0.00077582
                     57,                0.63085,                0.59191,                0.98513,                0.89448,                0.81837,                 0.8887,                0.72961,                0.69643,                0.75537,                 1.0218,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.6082,                0.57607,                 0.9459,                0.89541,                0.80347,                0.85962,                0.70686,                0.68949,                0.85835,                 1.0012,             0.00074282,             0.00074282,             0.00074282
                     59,                0.63551,                0.67211,                0.99584,                0.86112,                0.81323,                 0.8808,                0.71699,                0.67364,                0.71292,                0.98223,             0.00072631,             0.00072631,             0.00072631
                     60,                0.71032,                0.65923,                0.99176,                0.89571,                0.82323,                 0.8966,                0.72385,                0.67185,                0.70852,                0.98602,             0.00070981,             0.00070981,             0.00070981
                     61,                0.61302,                0.66928,                0.95997,                0.90617,                0.79476,                0.88311,                0.73018,                0.66172,                0.73725,                0.98149,             0.00069331,             0.00069331,             0.00069331
                     62,                0.65463,                0.59319,                 0.9876,                0.93213,                0.78405,                0.87281,                0.71557,                0.71812,                0.75548,                 1.0183,              0.0006768,              0.0006768,              0.0006768
                     63,                0.64211,                0.58401,                0.97766,                0.96326,                0.79713,                0.87242,                0.72104,                0.68763,                0.72598,                 1.0078,              0.0006603,              0.0006603,              0.0006603
                     64,                0.68082,                0.65188,                 1.0208,                0.95279,                0.77597,                0.87599,                0.72592,                0.64191,                0.69543,                 1.0023,              0.0006438,              0.0006438,              0.0006438
                     65,                0.68609,                0.62704,                0.99405,                0.88997,                0.80486,                0.85862,                0.72861,                0.64398,                 0.7131,                 1.0105,             0.00062729,             0.00062729,             0.00062729
                     66,                0.62439,                0.56996,                0.96425,                0.94348,                0.78457,                0.86319,                0.72188,                0.65198,                 0.7002,                 1.0012,             0.00061079,             0.00061079,             0.00061079
                     67,                0.58711,                0.54992,                0.94624,                0.92991,                0.80101,                0.89142,                0.73602,                0.64308,                0.66848,                0.99579,             0.00059429,             0.00059429,             0.00059429
                     68,                0.59691,                0.55031,                0.97316,                0.96178,                 0.7899,                0.90684,                0.71062,                0.70813,                0.70428,                 1.0419,             0.00057778,             0.00057778,             0.00057778
                     69,                0.58956,                0.57619,                0.95373,                0.96367,                0.82592,                0.91208,                0.71944,                0.68721,                0.66798,                 1.0227,             0.00056128,             0.00056128,             0.00056128
                     70,                0.54085,                0.50119,                0.92765,                0.98172,                0.83232,                0.91567,                0.74766,                0.66957,                0.64599,                 1.0162,             0.00054478,             0.00054478,             0.00054478
                     71,                0.56913,                0.55053,                0.93772,                0.95928,                0.83192,                0.89693,                0.75487,                0.63651,                0.64065,                 1.0041,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.5805,                 0.5052,                0.94065,                0.94631,                0.81833,                0.89898,                0.74159,                0.67165,                0.66635,                 1.0258,             0.00051177,             0.00051177,             0.00051177
                     73,                0.56238,                0.51317,                0.93089,                0.91194,                 0.7899,                0.88715,                0.73208,                0.67912,                0.66374,                  1.026,             0.00049527,             0.00049527,             0.00049527
                     74,                0.50473,                 1.5252,                0.85682,                0.89318,                0.83434,                0.89795,                0.73277,                0.66958,                0.63759,                 1.0162,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.5865,                 0.5507,                0.94536,                0.88107,                0.82881,                0.88328,                0.72813,                0.67899,                 0.6371,                 1.0256,             0.00046226,             0.00046226,             0.00046226
                     76,                0.57424,                0.54179,                 0.9363,                 0.8996,                0.85092,                0.89694,                0.74327,                0.66032,                0.64079,                   1.03,             0.00044576,             0.00044576,             0.00044576
                     77,                0.54785,                0.59459,                0.95357,                0.90314,                0.84336,                0.89608,                0.74259,                0.66655,                0.65277,                 1.0336,             0.00042925,             0.00042925,             0.00042925
                     78,                0.56404,                0.50718,                0.93296,                0.88777,                0.84299,                0.89452,                0.74243,                0.65495,                0.65508,                 1.0147,             0.00041275,             0.00041275,             0.00041275
                     79,                0.53716,                0.47983,                0.93983,                0.95139,                0.80444,                0.88957,                0.73762,                 0.6594,                0.62882,                  1.026,             0.00039625,             0.00039625,             0.00039625
                     80,                0.54561,                0.50132,                0.94575,                 0.9687,                0.81922,                0.89652,                 0.7404,                0.68347,                0.65122,                 1.0345,             0.00037974,             0.00037974,             0.00037974
                     81,                0.56111,                0.53674,                0.93737,                0.96274,                0.83667,                0.89994,                0.74439,                0.65445,                0.61327,                 1.0078,             0.00036324,             0.00036324,             0.00036324
                     82,                 0.5071,                0.49189,                0.90867,                0.94024,                0.82323,                0.90421,                0.74583,                 0.6386,                0.58528,                 1.0151,             0.00034674,             0.00034674,             0.00034674
