                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8603,                0.47593,                0.82527,                0.80989,                0.68895,                0.76765,                  0.492,                0.93127,                 1.1181,                 0.6422,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.8293,                0.46592,                0.81296,                0.80528,                0.74348,                0.78455,                0.49768,                 0.9564,                 1.2908,                0.63002,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.8284,                0.46914,                0.81832,                 0.7731,                0.71654,                0.76455,                0.49146,                0.97678,                 1.2493,                0.62408,             0.00090556,             0.00090556,             0.00090556
                     39,                 0.8079,                0.45567,                0.81001,                0.76645,                0.74558,                0.77305,                0.48617,                0.95582,                 1.4908,                0.62134,             0.00089141,             0.00089141,             0.00089141
                     40,                0.81419,                0.46333,                0.81461,                0.74746,                0.76887,                0.77984,                0.48972,                0.91014,                 1.1283,                0.62661,             0.00087726,             0.00087726,             0.00087726
                     41,                0.81411,                0.46296,                0.81908,                0.77968,                0.73809,                0.76906,                0.48658,                0.91022,                 1.0994,                0.61789,             0.00086312,             0.00086312,             0.00086312
                     42,                0.80449,                0.45273,                0.82095,                0.78863,                0.77013,                0.79256,                0.49581,                0.89713,                 1.2845,                0.60901,             0.00084897,             0.00084897,             0.00084897
                     43,                0.80649,                0.45037,                0.81765,                0.76721,                0.75877,                0.75525,                0.47267,                 0.9237,                 1.2907,                0.61214,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.7957,                0.43298,                0.81825,                0.87419,                0.69734,                0.77901,                0.49744,                0.93754,                  1.054,                0.62071,             0.00082067,             0.00082067,             0.00082067
                     45,                0.81937,                0.45791,                0.81179,                0.82331,                0.73536,                0.80893,                0.51376,                0.94675,                 1.3646,                0.63913,             0.00080653,             0.00080653,             0.00080653
                     46,                0.80197,                0.44109,                0.81111,                 0.7684,                0.74905,                 0.7678,                0.48092,                0.98016,                 1.2037,                 0.6383,             0.00079238,             0.00079238,             0.00079238
                     47,                0.79074,                 0.4414,                  0.817,                0.78288,                0.61272,                0.64543,                0.41753,                0.95958,                 1.2345,                0.63287,             0.00077823,             0.00077823,             0.00077823
                     48,                0.77174,                0.42309,                0.80905,                0.83287,                0.73059,                0.79522,                0.50661,                0.96239,                 1.1231,                0.63245,             0.00076409,             0.00076409,             0.00076409
                     49,                0.77534,                0.43567,                0.81429,                0.78872,                0.75348,                0.78269,                0.49746,                0.93196,                  1.084,                0.61719,             0.00074994,             0.00074994,             0.00074994
